!sil 1.0	sil
--can-sego/canseco- 1.0	s eh g ow
-bocket/bucket- 1.0	b ao k eh t
-booth/both- 1.0	b uw dh
-boughten/bought- 1.0	b ao t eh n
-brand/grand- 1.0	b r ae n d
-bright/right- 1.0	b r ay t
-bulch/mulch- 1.0	b ah l ch
-burgalies/burglaries- 1.0	b er g ax l iy z
-burgurlaries/burglaries- 1.0	b er g er l ax r iy z
-bystandard/bystander- 1.0	b ay s t ae n d er d
-c-an 1.0	ae n
-c-ourse 1.0	ow r s
-ca-re 1.0	r
-ca/class- 1.0	k ae
-cam-pany-/company- 1.0	k ae m
-campsise/campsite- 1.0	k ae m p s ay z
-carrer/carrier- 1.0	k ae r er
-cate/state- 1.0	k ey t
-cha-pe-/shape- 1.0	ch ey
-chicer-tos-/concertos- 1.0	ch ih k ey r
-chloro-fluorocarbons 1.0	f l ow r ow k aa r b ax n
-chlorofar/chlorofluorocarbons- 1.0	k l ow r ow f aa r
-cima-tography-/cinematography- 1.0	s ih m ax
-civinal/civil- 1.0	s ih v ih n ax l
-client/climate- 1.0	k l ay ih n t
-clo-ss-/cross- 1.0	k l ao
-clo/countries- 1.0	k l ow
-cnnn/cnn- 1.0	s iy eh n eh n eh n
-com-puter 1.0	p y uw t er
-committed/convicted- 1.0	k ax m ih t ih d
-communercation/communication- 1.0	k ax m y uw n er k ey sh ih n
-communiky/community- 1.0	k ax m y uw n ih k iy
-commutiv/computerized- 1.0	k ax m y uw t ih v
-comp/container- 1.0	k aa m p
-company-'s 1.0	z
-compi/campaign- 1.0	k aa m p iy
-compooter/computer- 1.0	k ax m p uw t er
-con-temporary 1.0	t eh m p ax r eh r iy
-con-tro-l- 1.0	t r ow
-con-verting 1.0	v er t ih ng
-cr-osby-/cosby- 1.0	k r
-crain/training- 1.0	k r ey n
-craning/training- 1.0	k r ey n ih ng
-cre/committing- 1.0	k r iy
-crite/quite- 1.0	k r ay t
-cros/cosby- 1.0	k r ao s
-cu/punishment- 1.0	k ah
-d-idn't 1.0	ih d en t
-d-o 1.0	uw
-d-oes 1.0	ah z
-d-on't 1.0	ow n t
-darc/document- 1.0	d aa r k
-daur/daughter's- 1.0	d ao r
-de-partment 1.0	p aa r t m ih n t
-de-pending 1.0	p eh n d ih ng
-de-pends 1.0	p eh n d z
-de-tailed 1.0	t ey l d
-de-tective 1.0	t eh k t ih v
-de-troit's 1.0	t r oy t s
-de-veloping 1.0	v eh l ax p ih ng
-decifit/deficit- 1.0	d eh s iy f iy t
-decrimi/incrimination- 1.0	d ey k r ih m ih
-destabulation/destabilization- 1.0	d iy s t ey b y uw l ey sh ih n
-determent/deterrent- 1.0	d ih t er m ih n t
-deterrment/deterrent- 1.0	d ih t er m ih n t
-di-fferent 1.0	f ax r ih n t
-dib/bit- 1.0	d ih b
-directle/directed- 1.0	d ih r eh k t ax l
-dis-satisfied 1.0	s ae t ih s f ay d
-discover/discovery- 1.0	d ih s k ah v er
-disea-l-/diesel- 1.0	d ih z iy
-disevered/discovered- 1.0	d ih s eh v er d
-disfie-d-/dissatisfied- 1.0	d ih s f ay
-distrupt/disrupt- 1.0	d ih s t r ah p t
-divantages/disadvantages- 1.0	d ih v ae n t ih jh ih z
-do-n't 1.0	n t
-doct-ors 1.0	er z
-doe-s 1.0	z
-doen't/doesn't- 1.0	d ah en t
-dollmeyer/dahmer- 1.0	d ao l m ay er
-dono/donating- 1.0	d ow n ow
-dos/do- 1.0	d uw z
-dour/your- 1.0	d ow r
-dow/know- 1.0	d ow
-drawed/drew- 1.0	d r ao d
-dre/testing- 1.0	d r eh
-dust/just- 1.0	d ah s t
-e-mer-gency- 1.0	m er
-e-mergency 1.0	m er jh ih n s iy
-eagle/eager- 1.0	iy g ax l
-ear-hart 1.0	hh aa r t
-earhout/earhart- 1.0	eh r hh aw t
-ec/ethic- 1.0	eh k
-effective-ness 1.0	n ih s
-eightch/eight- 1.0	ey ch
-em-ployed 1.0	p l oy d
-emancimation/emancipation- 1.0	ih m ae n s ih m ey sh ih n
-emjoy/enjoy- 1.0	eh m jh oy
-en-joy 1.0	jh oy
-en-joyed 1.0	jh oy d
-enthusi-asm 1.0	ae z ax m
-es-pecially 1.0	p eh sh ax l iy
-es/extinct- 1.0	eh s
-escavators/excavators- 1.0	eh s k ax v ey t er z
-evalu-ate 1.0	ey t
-evalu/evaluate- 1.0	eh v ae l uh
-every-body 1.0	b aa d iy
-ex-cuse 1.0	k y uw s
-ex-perience 1.0	p ih r iy ih n s
-ex-specially-/especially- 1.0	eh k s
-exclusive-ly 1.0	l iy
-exer-cise 1.0	s ay z
-extansion/extension- 1.0	eh k s t ae n sh ih n
-extensi-vely 1.0	v l iy
-extensly/extensively- 1.0	eh k s t eh n s l iy
-extremey/extreme- 1.0	eh k s t r iy m iy
-fa/for- 1.0	f ax
-face/place- 1.0	f ey s
-fam-ous-/funniest- 1.0	f ae m
-fam/funniest- 1.0	f ae m
-famuel/family- 1.0	f ae m y uw eh l
-feazure/feature- 1.0	f iy z er
-feelt/feel- 1.0	f iy l t
-feministus/feminists- 1.0	f eh m ih n ih s t uh s
-fies/flies- 1.0	f ay z
-fight/fact- 1.0	f ay t
-flage/fade- 1.0	f l ey jh
-flang/flamingo- 1.0	f l ae ng
-flap/slap- 1.0	f l ae p
-flow/blow- 1.0	f l ow
-flus-tration-/frustration- 1.0	f l ax s
-fo-me-/home- 1.0	f ow
-fo-r 1.0	r
-fo/home- 1.0	f ow
-forfilling/fulfilling- 1.0	f ao r f ih l ih ng
-fudgy/fuzzy- 1.0	f ah jh iy
-g-et 1.0	g eh t
-g-o 1.0	ow
-g-onna 1.0	ah n ax
-ga/bag- 1.0	g ae
-gaven/given- 1.0	g ey v ax n
-geing/going- 1.0	g iy ih ng
-gisland/island- 1.0	jh ih l ax n d
-grest/greatest- 1.0	g r eh s t
-griedous/grievous- 1.0	g r iy d ax s
-grug/drug- 1.0	g r ah g
-grulf/gulf- 1.0	g r ah l f
-gust/just- 1.0	g ah s t
-h-as 1.0	ae z
-h-e 1.0	iy
-h-ello 1.0	ax l ow
-h-ey 1.0	ey
-ha-s 1.0	z
-ha-ve 1.0	v
-ha/family- 1.0	hh ae
-hank-ing-/hiking- 1.0	hh ae ng k
-hanters/hand- 1.0	hh ae n t er z
-har-bits-/habits- 1.0	hh aa r
-hardy/harder- 1.0	hh aa r d iy
-hay/horse- 1.0	hh ey
-he-llo 1.0	l ow
-hell-o 1.0	ow
-hem/hormones- 1.0	hh eh m
-hexpired/expired- 1.0	hh eh k s p ay r d
-hi-sci/hi-fi- 1.0	hh ay s ay
-himsnelf/himself- 1.0	hh ih m s n eh l f
-hippocratic/hippocrates- 1.0	hh ih p aa k r ax t iy k
-hitchclock/hitchcock- 1.0	hh ih ch k l aa k
-howsner/howser- 1.0	hh aw s n er
-hunniest/funniest- 1.0	hh ah n iy ih s t
-hur/hose- 1.0	hh er
-i-f 1.0	f
-i-magine 1.0	m ae jh ih n
-i-s 1.0	z
-i-t 1.0	t
-i-t's 1.0	t s
-im-portant 1.0	p ow r t ih n t
-im-posed 1.0	p ow z d
-impeme/implemented- 1.0	ih m p iy m eh
-in't/isn't- 1.0	ih n t
-in-con-venience- 1.0	k ax n
-in-credible 1.0	k r eh d ih b ax l
-in-ducted 1.0	d ah k t ih d
-in-sane 1.0	s ey n
-in-su-rance- 1.0	sh uh
-in-vestment 1.0	v eh s t m ih n t
-inaerobic/anaerobic- 1.0	ih n ax r ow b ih k
-incentitive/incentive- 1.0	ih n s eh n t ih t ih v
-indivigal/individual- 1.0	ih n d ih v ih g ax l
-inedeas/ideas- 1.0	ay n ax d iy ax z
-ins/winds- 1.0	ih n s
-intendo/nintendo- 1.0	ih n t eh n d ow
-israels/israelis- 1.0	ih z r ey ax l z
-it'-s 1.0	s
-it'n/isn't- 1.0	ih t en
-it-'s 1.0	s
-j-erry 1.0	eh r iy
-j-ust 1.0	ah s t
-jere's/there's- 1.0	jh ey r z
-jog/job- 1.0	jh aa g
-ju-st 1.0	s t
-judi-ciary 1.0	sh ax r iy
-judo-christian/judeo-christian- 1.0	jh uw d ow k r ih s ch ih n
-jype/type- 1.0	jh ay p
-keech/keep- 1.0	k iy ch
-key/he- 1.0	k iy
-kidzees/kids- 1.0	k ih d z iy z
-kleeping/keeping- 1.0	k l iy p ih ng
-kn-ow 1.0	ow
-konestan/kazhakstan- 1.0	k ow n ey s t ae n
-kype/type- 1.0	k ay p
-l-earned 1.0	er n d
-l-ike 1.0	ay k
-lan/lambs- 1.0	l ae n
-laniers/lanier- 1.0	l ey n iy er z
-lard/yard- 1.0	l aa r d
-laughter-13th- 1.0	th er t iy n th
-laughter-a's- 1.0	ey z
-laughter-a- 1.0	ax
-laughter-a-nd-- 1.0	ae
-laughter-a-nytime-- 1.0	eh
-laughter-abilities- 1.0	ax b ih l ih t iy z
-laughter-able- 1.0	ey b ax l
-laughter-about- 1.0	ax b aw t
-laughter-abrasive- 1.0	ax b r ey s ih v
-laughter-absolutely- 1.0	ae b s ax l uw t l iy
-laughter-accident- 1.0	ae k s ih d eh n t
-laughter-acclimated- 1.0	ae k l ih m ey t ih d
-laughter-across- 1.0	ax k r ao s
-laughter-act- 1.0	ae k t
-laughter-acting- 1.0	ae k t ih ng
-laughter-activities- 1.0	ae k t ih v ih t iy z
-laughter-activity- 1.0	ae k t ih v ih t iy
-laughter-actually- 1.0	ae k ch uw ax l iy
-laughter-added- 1.0	ae d ih d
-laughter-address- 1.0	ae d r eh s
-laughter-adored- 1.0	ax d ow r d
-laughter-adults- 1.0	ae d ax l t s
-laughter-adventures- 1.0	ae d v eh n ch er z
-laughter-afford- 1.0	ax f ow r d
-laughter-afghan- 1.0	ae f g ae n
-laughter-afraid- 1.0	ax f r ey d
-laughter-after- 1.0	ae f t er
-laughter-again- 1.0	ax g eh n
-laughter-age- 1.0	ey jh
-laughter-agencies- 1.0	ey jh ih n s iy z
-laughter-ages- 1.0	ey jh ih z
-laughter-aggravating- 1.0	ae g r ax v ey t ih ng
-laughter-ago- 1.0	ax g ow
-laughter-agree- 1.0	ax g r iy
-laughter-ahead- 1.0	ax hh eh d
-laughter-ain't- 1.0	ey n t
-laughter-air- 1.0	ey r
-laughter-airspace- 1.0	ey r s p ey s
-laughter-alabama- 1.0	ae l ax b ae m ax
-laughter-all- 1.0	ao l
-laughter-allowed- 1.0	ax l aw d
-laughter-almighty- 1.0	ao l m ay t iy
-laughter-almost- 1.0	ao l m ow s t
-laughter-alone- 1.0	ax l ow n
-laughter-along- 1.0	ax l ao ng
-laughter-already- 1.0	ao l r eh d iy
-laughter-also- 1.0	ao l s ow
-laughter-always- 1.0	ao l w ey z
-laughter-am- 1.0	ae m
-laughter-amazing- 1.0	ax m ey z ih ng
-laughter-america- 1.0	ax m eh r ih k ax
-laughter-american- 1.0	ax m eh r ih k ax n
-laughter-amount- 1.0	ax m aw n t
-laughter-amusing- 1.0	ax m y uw z ih ng
-laughter-an- 1.0	ae n
-laughter-and- 1.0	ae n d
-laughter-angeles- 1.0	ae n jh ax l ax s
-laughter-ann- 1.0	ae n
-laughter-another- 1.0	ax n ah dh er
-laughter-answer- 1.0	ae n s er
-laughter-antibeach- 1.0	ae n t ay b iy ch
-laughter-antique- 1.0	ae n t iy k
-laughter-any- 1.0	eh n iy
-laughter-anybody- 1.0	eh n iy b ah d iy
-laughter-anyhow- 1.0	eh n iy hh aw
-laughter-anymore- 1.0	eh n iy m ow r
-laughter-anything- 1.0	eh n iy th ih ng
-laughter-anytime- 1.0	eh n iy t ay m
-laughter-anyway- 1.0	eh n iy w ey
-laughter-anywhere- 1.0	eh n iy w ey r
-laughter-apart- 1.0	ax p aa r t
-laughter-apartment- 1.0	ax p aa r t m ih n t
-laughter-apiece- 1.0	ax p iy s
-laughter-appetite- 1.0	ae p ih t ay t
-laughter-applied- 1.0	ax p l ay d
-laughter-appreciate- 1.0	ax p r iy sh iy ey t
-laughter-are- 1.0	aa r
-laughter-area- 1.0	ey r iy ax
-laughter-areas- 1.0	ey r iy ax z
-laughter-aren't- 1.0	aa r n t
-laughter-argu-ment-- 1.0	aa r g y ax
-laughter-aries- 1.0	ey r iy z
-laughter-arlington- 1.0	aa r l ih ng t ax n
-laughter-around- 1.0	ax r aw n d
-laughter-art- 1.0	aa r t
-laughter-artichoke- 1.0	aa r t ih ch ow k
-laughter-as- 1.0	ae z
-laughter-ask- 1.0	ae s k
-laughter-asked- 1.0	ae s k t
-laughter-asleep- 1.0	ax s l iy p
-laughter-aspect- 1.0	ae s p eh k t
-laughter-at- 1.0	ae t
-laughter-attached- 1.0	ax t ae ch t
-laughter-audience- 1.0	ao d iy ih n s
-laughter-audit- 1.0	ao d ih t
-laughter-augustine- 1.0	ao g ah s t ih n
-laughter-automatically- 1.0	ao t ax m ae t ih k l iy
-laughter-avenue- 1.0	ae v ax n uw
-laughter-avon- 1.0	ae v aa n
-laughter-aware- 1.0	ax w ey r
-laughter-away- 1.0	ax w ey
-laughter-awful- 1.0	ao f ax l
-laughter-awfully- 1.0	ao f ax l iy
-laughter-b- 1.0	b iy
-laughter-b-ureaucracy-- 1.0	b
-laughter-ba-ck-- 1.0	b ae
-laughter-back- 1.0	b ae k
-laughter-backfires- 1.0	b ae k f ay r z
-laughter-background- 1.0	b ae k g r aw n d
-laughter-backgrounds- 1.0	b ae k g r aw n d z
-laughter-backlash- 1.0	b ae k l ae sh
-laughter-backseats- 1.0	b ae k s iy t s
-laughter-backyard- 1.0	b ae k y aa r d
-laughter-bad- 1.0	b ae d
-laughter-badminton- 1.0	b ae d m ih n t ax n
-laughter-bag- 1.0	b ae g
-laughter-bags- 1.0	b ae g z
-laughter-bait- 1.0	b ey t
-laughter-balance- 1.0	b ae l ax n s
-laughter-balcony- 1.0	b ae l k ax n iy
-laughter-ban- 1.0	b ae n
-laughter-bank- 1.0	b ae ng k
-laughter-bap- 1.0	b ae p
-laughter-bar- 1.0	b aa r
-laughter-barbecue- 1.0	b aa r b ax k y uw
-laughter-barber- 1.0	b aa r b er
-laughter-barrel- 1.0	b ae r ax l
-laughter-bars- 1.0	b aa r z
-laughter-baseball- 1.0	b ey s b ao l
-laughter-basically- 1.0	b ey s ih k l iy
-laughter-basis- 1.0	b ey s ih s
-laughter-basket- 1.0	b ae s k ih t
-laughter-basketball- 1.0	b ae s k ih t b ao l
-laughter-bathroom- 1.0	b ae th r uw m
-laughter-bathrooms- 1.0	b ae th r uw m z
-laughter-battery- 1.0	b ae t ax r iy
-laughter-be- 1.0	b iy
-laughter-beach- 1.0	b iy ch
-laughter-because- 1.0	b ax k ah z
-laughter-because- 1.0	k ah z
-laughter-bed- 1.0	b eh d
-laughter-beds- 1.0	b eh d z
-laughter-been- 1.0	b ih n
-laughter-before- 1.0	b ax f ow r
-laughter-begin- 1.0	b ax g ih n
-laughter-behaved- 1.0	b ax hh ey v d
-laughter-behind- 1.0	b ax hh ay n d
-laughter-being- 1.0	b iy ih ng
-laughter-believe- 1.0	b ih l iy v
-laughter-bell- 1.0	b eh l
-laughter-below- 1.0	b ax l ow
-laughter-beneficial- 1.0	b eh n ax f ih sh ax l
-laughter-benefit- 1.0	b eh n ih f ih t
-laughter-benefits- 1.0	b eh n ih f ih t s
-laughter-bernardino- 1.0	b er n aa r d iy n uw
-laughter-best- 1.0	b eh s t
-laughter-bet- 1.0	b eh t
-laughter-better- 1.0	b eh t er
-laughter-bible- 1.0	b ay b ax l
-laughter-bicycler- 1.0	b ay s ih k l er
-laughter-big- 1.0	b ih g
-laughter-biggest- 1.0	b ih g ax s t
-laughter-bill- 1.0	b ih l
-laughter-bills- 1.0	b ih l z
-laughter-bim- 1.0	b ih m
-laughter-biodegrading- 1.0	b ay ow d ih g r ey d ih ng
-laughter-bit- 1.0	b ih t
-laughter-biting- 1.0	b ay t ih ng
-laughter-bizarre- 1.0	b ih z aa r
-laughter-blames- 1.0	b l ey m z
-laughter-blew- 1.0	b l uw
-laughter-blocks- 1.0	b l aa k s
-laughter-bloodstream- 1.0	b l ah d s t r iy m
-laughter-body- 1.0	b aa d iy
-laughter-bogey- 1.0	b ow g iy
-laughter-bomb- 1.0	b aa m
-laughter-bonds- 1.0	b aa n d z
-laughter-book- 1.0	b uh k
-laughter-books- 1.0	b uh k s
-laughter-boonies- 1.0	b uw n iy z
-laughter-boots- 1.0	b uw t s
-laughter-boring- 1.0	b ow r ih ng
-laughter-born- 1.0	b ow r n
-laughter-borrowing- 1.0	b aa r ow ih ng
-laughter-boss- 1.0	b ao s
-laughter-both- 1.0	b ow th
-laughter-bother- 1.0	b aa dh er
-laughter-bothered- 1.0	b aa dh er d
-laughter-bothering- 1.0	b aa dh ax r ih ng
-laughter-bottles- 1.0	b aa t el z
-laughter-bottom- 1.0	b aa t ax m
-laughter-bought- 1.0	b ao t
-laughter-boxes- 1.0	b aa k s ih z
-laughter-boy- 1.0	b oy
-laughter-boyfriend- 1.0	b oy f r eh n d
-laughter-boyfriends- 1.0	b oy f r eh n d z
-laughter-brain- 1.0	b r ey n
-laughter-brats- 1.0	b r ae t s
-laughter-bread- 1.0	b r eh d
-laughter-break- 1.0	b r ey k
-laughter-breaks- 1.0	b r ey k s
-laughter-breathed- 1.0	b r iy dh d
-laughter-bridge- 1.0	b r ih jh
-laughter-bring- 1.0	b r ih ng
-laughter-brother- 1.0	b r ah dh er
-laughter-brought- 1.0	b r ao t
-laughter-brownstone- 1.0	b r aw n s t ow n
-laughter-bs- 1.0	b iy eh s
-laughter-bu-t-- 1.0	b ah
-laughter-bucks- 1.0	b ah k s
-laughter-budget- 1.0	b ah jh ih t
-laughter-buffalo- 1.0	b ah f ax l ow
-laughter-building- 1.0	b ih l d ih ng
-laughter-bulimic- 1.0	b y uw l iy m ih k
-laughter-bump- 1.0	b ah m p
-laughter-bureau- 1.0	b y uh r ow
-laughter-bureaucracy- 1.0	b y uh r aa k r ih s iy
-laughter-bureaucratic- 1.0	b y uh r ax k r ae t ih k
-laughter-buried- 1.0	b eh r iy d
-laughter-burned- 1.0	b er n d
-laughter-burner- 1.0	b er n er
-laughter-bus- 1.0	b ah s
-laughter-business- 1.0	b ih z n ih s
-laughter-bust- 1.0	b ah s t
-laughter-busted- 1.0	b ah s t ih d
-laughter-but- 1.0	b ah t
-laughter-butts- 1.0	b ah t s
-laughter-buy- 1.0	b ay
-laughter-buying- 1.0	b ay ih ng
-laughter-buys- 1.0	b ay z
-laughter-by- 1.0	b ay
-laughter-bye-bye- 1.0	b ay b ay
-laughter-ca-tfish-- 1.0	k ae
-laughter-cabinets- 1.0	k ae b ih n ih t
-laughter-cable- 1.0	k ey b ax l
-laughter-cage- 1.0	k ey jh
-laughter-calculators- 1.0	k ae l k y ax l ey t er z
-laughter-call- 1.0	k ao l
-laughter-called- 1.0	k ao l d
-laughter-calling- 1.0	k ao l ih ng
-laughter-calls- 1.0	k ao l z
-laughter-came- 1.0	k ey m
-laughter-camping- 1.0	k ae m p ih ng
-laughter-campus- 1.0	k ae m p ax s
-laughter-can't- 1.0	k ae n t
-laughter-can- 1.0	k ae n
-laughter-canada- 1.0	k ae n ih d ax
-laughter-cans- 1.0	k ae n z
-laughter-canyon- 1.0	k ae n y ih n
-laughter-capital- 1.0	k ae p ih t ax l
-laughter-car- 1.0	k aa r
-laughter-card- 1.0	k aa r d
-laughter-cards- 1.0	k aa r d z
-laughter-care- 1.0	k ey r
-laughter-careful- 1.0	k ey r f ax l
-laughter-cares- 1.0	k ey r z
-laughter-carpet- 1.0	k aa r p ih t
-laughter-carried- 1.0	k ae r iy d
-laughter-carrollton- 1.0	k ae r ax l t ax n
-laughter-carrying- 1.0	k ae r iy ih ng
-laughter-cars- 1.0	k aa r z
-laughter-cart- 1.0	k aa r t
-laughter-case- 1.0	k ey s
-laughter-cases- 1.0	k ey s ih z
-laughter-castration- 1.0	k ae s t r ey sh ih n
-laughter-casual- 1.0	k ae zh uw ax l
-laughter-cat- 1.0	k ae t
-laughter-catch- 1.0	k ae ch
-laughter-catches- 1.0	k ae ch ih z
-laughter-category- 1.0	k ae t ax g ow r iy
-laughter-cats- 1.0	k ae t s
-laughter-causes- 1.0	k ao z ih z
-laughter-caution- 1.0	k ao sh ih n
-laughter-ceiling- 1.0	s iy l ih ng
-laughter-census- 1.0	s eh n s ax s
-laughter-cents- 1.0	s eh n t s
-laughter-certain- 1.0	s er t en
-laughter-certainly- 1.0	s er t en l iy
-laughter-cha-nnel-- 1.0	ch ae
-laughter-chairs- 1.0	ch ey r z
-laughter-challenged- 1.0	ch ae l ih n jh d
-laughter-challenging- 1.0	ch ae l ih n jh ih ng
-laughter-chambers- 1.0	ch ey m b er z
-laughter-champion- 1.0	ch ae m p iy ih n
-laughter-chance- 1.0	ch ae n s
-laughter-change- 1.0	ch ey n jh
-laughter-changed- 1.0	ch ey n jh d
-laughter-changes- 1.0	ch ey n jh ih z
-laughter-channels- 1.0	ch ae n ax l z
-laughter-charge- 1.0	ch aa r jh
-laughter-chase- 1.0	ch ey s
-laughter-cheap- 1.0	ch iy p
-laughter-cheaper- 1.0	ch iy p er
-laughter-check- 1.0	ch eh k
-laughter-checking- 1.0	ch eh k ih ng
-laughter-checks- 1.0	ch eh k s
-laughter-chicago- 1.0	sh ih k aa g ow
-laughter-child- 1.0	ch ay l d
-laughter-children- 1.0	ch ih l d r ax n
-laughter-choice- 1.0	ch oy s
-laughter-cholesterol- 1.0	k ax l eh s t ax r ao l
-laughter-chosen- 1.0	ch ow z ih n
-laughter-christ- 1.0	k r ay s t
-laughter-christmas- 1.0	k r ih s m ax s
-laughter-city- 1.0	s ih t iy
-laughter-class- 1.0	k l ae s
-laughter-classical- 1.0	k l ae s ih k ax l
-laughter-clean- 1.0	k l iy n
-laughter-clearly- 1.0	k l iy r l iy
-laughter-close- 1.0	k l ow s
-laughter-closely- 1.0	k l ow s l iy
-laughter-closest- 1.0	k l ow s ih s t
-laughter-clothes- 1.0	k l ow dh z
-laughter-clothing- 1.0	k l ow dh ih ng
-laughter-clubs- 1.0	k l ah b z
-laughter-clutch- 1.0	k l ah ch
-laughter-coaching- 1.0	k ow ch ih ng
-laughter-coals- 1.0	k ow l z
-laughter-coat- 1.0	k ow t
-laughter-coffee- 1.0	k ao f iy
-laughter-cohesively- 1.0	k ow hh iy s ih v l iy
-laughter-cold- 1.0	k ow l d
-laughter-collapse- 1.0	k ax l ae p s
-laughter-collect- 1.0	k ax l eh k t
-laughter-college- 1.0	k ao l ih jh
-laughter-colors- 1.0	k ah l er z
-laughter-come- 1.0	k ah m
-laughter-comes- 1.0	k ah m z
-laughter-coming- 1.0	k ah m ih ng
-laughter-commercials- 1.0	k ax m er sh ax l z
-laughter-communist- 1.0	k aa m y ax n ih s t
-laughter-company- 1.0	k ah m p ax n iy
-laughter-comparable- 1.0	k aa m p ax r ax b ax l
-laughter-compare- 1.0	k ax m p ey r
-laughter-compared- 1.0	k ax m p ey r d
-laughter-comparison- 1.0	k ax m p ae r ih s ax n
-laughter-compatible- 1.0	k ax m p ae t ax b ax l
-laughter-competent- 1.0	k aa m p ih t ih n t
-laughter-competition- 1.0	k aa m p ih t ih sh ih n
-laughter-complain- 1.0	k ax m p l ey n
-laughter-complained- 1.0	k ax m p l ey n d
-laughter-complains- 1.0	k ax m p l ey n z
-laughter-computer- 1.0	k ax m p y uw t er
-laughter-computers- 1.0	k ax m p y uw t er z
-laughter-concern- 1.0	k ax n s er n
-laughter-concerned- 1.0	k ax n s er n d
-laughter-conditioner- 1.0	k ax n d ih sh ih n er
-laughter-conditioning- 1.0	k ax n d ih sh ih n ih ng
-laughter-congratulations- 1.0	k ax n g r ae ch ax l ey sh ih n z
-laughter-congress- 1.0	k aa ng g r ih s
-laughter-consequences- 1.0	k aa n s ax k w ih n s ih z
-laughter-conser-vative-- 1.0	k aa n s er
-laughter-conservative- 1.0	k ax n s er v ax t ih v
-laughter-consider- 1.0	k ax n s ih d er
-laughter-considerably- 1.0	k ax n s ih d ax r ax b l iy
-laughter-consideration- 1.0	k ax n s ih d ax r ey sh ih n
-laughter-consistent- 1.0	k ax n s ih s t ih n t
-laughter-constantly- 1.0	k aa n s t ih n t l iy
-laughter-contact- 1.0	k aa n t ae k t
-laughter-contel- 1.0	k aa n t eh l
-laughter-contract- 1.0	k aa n t r ae k t
-laughter-control- 1.0	k ax n t r ow l
-laughter-controversy- 1.0	k aa n t r ax v er s iy
-laughter-conversation- 1.0	k aa n v er s ey sh ih n
-laughter-conversations- 1.0	k aa n v er s ey sh ih n z
-laughter-cook- 1.0	k uh k
-laughter-cooks- 1.0	k uh k s
-laughter-copy- 1.0	k aa p iy
-laughter-corn- 1.0	k ow r n
-laughter-cornell- 1.0	k ow r n eh l
-laughter-correct- 1.0	k ax r eh k t
-laughter-cost- 1.0	k ao s t
-laughter-could- 1.0	k uh d
-laughter-couldn't- 1.0	k uh d en t
-laughter-couldn-'t 1.0	k uh d en t
-laughter-counseling- 1.0	k aw n s ax l ih ng
-laughter-counter- 1.0	k aw n t er
-laughter-country- 1.0	k ah n t r iy
-laughter-couple- 1.0	k ah p el
-laughter-course- 1.0	k ow r s
-laughter-courtroom- 1.0	k ow r t r uw m
-laughter-cousin- 1.0	k ah z ih n
-laughter-coverage- 1.0	k ah v ax r ih jh
-laughter-cowboys- 1.0	k aw b oy z
-laughter-crawl- 1.0	k r ao l
-laughter-crazy- 1.0	k r ey z iy
-laughter-cream- 1.0	k r iy m
-laughter-credit- 1.0	k r eh d ih t
-laughter-crime- 1.0	k r ay m
-laughter-criminal- 1.0	k r ih m ih n ax l
-laughter-critical- 1.0	k r ih t ih k ax l
