!SIL	SIL_S
--CAN-SEGO/CANSECO-	S_B EH_I G_I OW_E
-BIFOCERS/BIFOCALS-	B_B AY_I F_I OW_I K_I ER_I Z_E
-BINESS/BUSINESS-	B_B IH_I N_I IH_I S_E
-BINESSES/BUSINESSES-	B_B IH_I N_I IH_I S_I IH_I Z_E
-BOCKET/BUCKET-	B_B AO_I K_I EH_I T_E
-BOOTH/BOTH-	B_B UW_I DH_E #1
-BOUGHTEN/BOUGHT-	B_B AO_I T_I EH_I N_E
-BRAND/GRAND-	B_B R_I AE_I N_I D_E #1
-BRIGHT/RIGHT-	B_B R_I AY_I T_E #1
-BULCH/MULCH-	B_B AH_I L_I CH_E
-BURGALIES/BURGLARIES-	B_B ER_I G_I AX_I L_I IY_I Z_E
-BURGURLARIES/BURGLARIES-	B_B ER_I G_I ER_I L_I AX_I R_I IY_I Z_E
-BYSTANDARD/BYSTANDER-	B_B AY_I S_I T_I AE_I N_I D_I ER_I D_E
-C-AN	AE_B N_E #1
-C-OURSE	OW_B R_I S_E
-CA-RE	R_S #1
-CA/CLASS-	K_B AE_E #1
-CAM-PANY-/COMPANY-	K_B AE_I M_E #1
-CAMPSISE/CAMPSITE-	K_B AE_I M_I P_I S_I AY_I Z_E
-CARRER/CARRIER-	K_B AE_I R_I ER_E
-CATE/STATE-	K_B EY_I T_E #1
-CHA-PE-/SHAPE-	CH_B EY_E #1
-CHICER-TOS-/CONCERTOS-	CH_B IH_I K_I EY_I R_E
-CHLORO-FLUOROCARBONS	F_B L_I OW_I R_I OW_I K_I AA_I R_I B_I AX_I N_E
-CHLOROFAR/CHLOROFLUOROCARBONS-	K_B L_I OW_I R_I OW_I F_I AA_I R_E
-CIMA-TOGRAPHY-/CINEMATOGRAPHY-	S_B IH_I M_I AX_E
-CIVINAL/CIVIL-	S_B IH_I V_I IH_I N_I AX_I L_E
-CLIENT/CLIMATE-	K_B L_I AY_I IH_I N_I T_E #1
-CLO-SS-/CROSS-	K_B L_I AO_E #1
-CLO/COUNTRIES-	K_B L_I OW_E #1
-CNNN/CNN-	S_B IY_I EH_I N_I EH_I N_I EH_I N_E
-COM-PUTER	P_B Y_I UW_I T_I ER_E
-COMMITTED/CONVICTED-	K_B AX_I M_I IH_I T_I IH_I D_E #1
-COMMUNERCATION/COMMUNICATION-	K_B AX_I M_I Y_I UW_I N_I ER_I K_I EY_I SH_I IH_I N_E
-COMMUNIKY/COMMUNITY-	K_B AX_I M_I Y_I UW_I N_I IH_I K_I IY_E
-COMMUTIV/COMPUTERIZED-	K_B AX_I M_I Y_I UW_I T_I IH_I V_E
-COMP/CONTAINER-	K_B AA_I M_I P_E #1
-COMPANY-'S	Z_S #2
-COMPI/CAMPAIGN-	K_B AA_I M_I P_I IY_E
-COMPOOTER/COMPUTER-	K_B AX_I M_I P_I UW_I T_I ER_E
-CON-TEMPORARY	T_B EH_I M_I P_I AX_I R_I EH_I R_I IY_E #1
-CON-TRO-L-	T_B R_I OW_E
-CON-VERTING	V_B ER_I T_I IH_I NG_E
-CR-OSBY-/COSBY-	K_B R_E #1
-CRAIN/TRAINING-	K_B R_I EY_I N_E #1
-CRANING/TRAINING-	K_B R_I EY_I N_I IH_I NG_E
-CRE/COMMITTING-	K_B R_I IY_E #1
-CRITE/QUITE-	K_B R_I AY_I T_E
-CROS/COSBY-	K_B R_I AO_I S_E #2
-CU/PUNISHMENT-	K_B AH_E #2
-D-IDN'T	IH_B D_I EN_I T_E
-D-O	UW_S #1
-D-OES	AH_B Z_E #2
-D-ON'T	OW_B N_I T_E
-DARC/DOCUMENT-	D_B AA_I R_I K_E #1
-DAUR/DAUGHTER'S-	D_B AO_I R_E
-DE-PARTMENT	P_B AA_I R_I T_I M_I IH_I N_I T_E
-DE-PENDING	P_B EH_I N_I D_I IH_I NG_E #1
-DE-PENDS	P_B EH_I N_I D_I Z_E #1
-DE-TAILED	T_B EY_I L_I D_E #1
-DE-TECTIVE	T_B EH_I K_I T_I IH_I V_E
-DE-TROIT'S	T_B R_I OY_I T_I S_E
-DE-VELOPING	V_B EH_I L_I AX_I P_I IH_I NG_E
-DECIFIT/DEFICIT-	D_B EH_I S_I IY_I F_I IY_I T_E
-DECRIMI/INCRIMINATION-	D_B EY_I K_I R_I IH_I M_I IH_E
-DESTABULATION/DESTABILIZATION-	D_B IY_I S_I T_I EY_I B_I Y_I UW_I L_I EY_I SH_I IH_I N_E
-DETERMENT/DETERRENT-	D_B IH_I T_I ER_I M_I IH_I N_I T_E #1
-DETERRMENT/DETERRENT-	D_B IH_I T_I ER_I M_I IH_I N_I T_E #2
-DI-FFERENT	F_B AX_I R_I IH_I N_I T_E
-DIB/BIT-	D_B IH_I B_E
-DIRECTLE/DIRECTED-	D_B IH_I R_I EH_I K_I T_I AX_I L_E
-DIS-SATISFIED	S_B AE_I T_I IH_I S_I F_I AY_I D_E #1
-DISCOVER/DISCOVERY-	D_B IH_I S_I K_I AH_I V_I ER_E #1
-DISEA-L-/DIESEL-	D_B IH_I Z_I IY_E #1
-DISEVERED/DISCOVERED-	D_B IH_I S_I EH_I V_I ER_I D_E
-DISFIE-D-/DISSATISFIED-	D_B IH_I S_I F_I AY_E
-DISTRUPT/DISRUPT-	D_B IH_I S_I T_I R_I AH_I P_I T_E
-DIVANTAGES/DISADVANTAGES-	D_B IH_I V_I AE_I N_I T_I IH_I JH_I IH_I Z_E
-DO-N'T	N_B T_E
-DOCT-ORS	ER_B Z_E
-DOE-S	Z_S #3
-DOEN'T/DOESN'T-	D_B AH_I EN_I T_E
-DOLLMEYER/DAHMER-	D_B AO_I L_I M_I AY_I ER_E
-DONO/DONATING-	D_B OW_I N_I OW_E
-DOS/DO-	D_B UW_I Z_E #1
-DOUR/YOUR-	D_B OW_I R_E #1
-DOW/KNOW-	D_B OW_E #1
-DRAWED/DREW-	D_B R_I AO_I D_E
-DRE/TESTING-	D_B R_I EH_E #1
-DUST/JUST-	D_B AH_I S_I T_E #1
-E-MER-GENCY-	M_B ER_E #1
-E-MERGENCY	M_B ER_I JH_I IH_I N_I S_I IY_E
-EAGLE/EAGER-	IY_B G_I AX_I L_E #1
-EAR-HART	HH_B AA_I R_I T_E #1
-EARHOUT/EARHART-	EH_B R_I HH_I AW_I T_E
-EC/ETHIC-	EH_B K_E #1
-EFFECTIVE-NESS	N_B IH_I S_E #1
-EIGHTCH/EIGHT-	EY_B CH_E #1
-EM-PLOYED	P_B L_I OY_I D_E
-EMANCIMATION/EMANCIPATION-	IH_B M_I AE_I N_I S_I IH_I M_I EY_I SH_I IH_I N_E
-EMJOY/ENJOY-	EH_B M_I JH_I OY_E
-EN-JOY	JH_B OY_E #1
-EN-JOYED	JH_B OY_I D_E
-ENTHUSI-ASM	AE_B Z_I AX_I M_E
-ES-PECIALLY	P_B EH_I SH_I AX_I L_I IY_E
-ES/EXTINCT-	EH_B S_E #1
-ESCAVATORS/EXCAVATORS-	EH_B S_I K_I AX_I V_I EY_I T_I ER_I Z_E
-EVALU-ATE	EY_B T_E #1
-EVALU/EVALUATE-	EH_B V_I AE_I L_I UH_E
-EVERY-BODY	B_B AA_I D_I IY_E #1
-EX-CUSE	K_B Y_I UW_I S_E
-EX-PERIENCE	P_B IH_I R_I IY_I IH_I N_I S_E
-EX-SPECIALLY-/ESPECIALLY-	EH_B K_I S_E #1
-EXCLUSIVE-LY	L_B IY_E #1
-EXER-CISE	S_B AY_I Z_E #1
-EXTANSION/EXTENSION-	EH_B K_I S_I T_I AE_I N_I SH_I IH_I N_E
-EXTENSI-VELY	V_B L_I IY_E
-EXTENSLY/EXTENSIVELY-	EH_B K_I S_I T_I EH_I N_I S_I L_I IY_E
-EXTREMEY/EXTREME-	EH_B K_I S_I T_I R_I IY_I M_I IY_E
-FA/FOR-	F_B AX_E #1
-FACE/PLACE-	F_B EY_I S_E #1
-FAM-OUS-/FUNNIEST-	F_B AE_I M_E #1
-FAM/FUNNIEST-	F_B AE_I M_E #2
-FAMUEL/FAMILY-	F_B AE_I M_I Y_I UW_I EH_I L_E
-FEAZURE/FEATURE-	F_B IY_I Z_I ER_E
-FEELT/FEEL-	F_B IY_I L_I T_E
-FEMINISTUS/FEMINISTS-	F_B EH_I M_I IH_I N_I IH_I S_I T_I UH_I S_E
-FIES/FLIES-	F_B AY_I Z_E
-FIGHT/FACT-	F_B AY_I T_E #1
-FLAGE/FADE-	F_B L_I EY_I JH_E
-FLANG/FLAMINGO-	F_B L_I AE_I NG_E
-FLAP/SLAP-	F_B L_I AE_I P_E #1
-FLOW/BLOW-	F_B L_I OW_E #1
-FLUS-TRATION-/FRUSTRATION-	F_B L_I AX_I S_E
-FO-ME-/HOME-	F_B OW_E #1
-FO-R	R_S #2
-FO/HOME-	F_B OW_E #2
-FORFILLING/FULFILLING-	F_B AO_I R_I F_I IH_I L_I IH_I NG_E
-FUDGY/FUZZY-	F_B AH_I JH_I IY_E
-G-ET	G_B EH_I T_E #1
-G-O	OW_S #1
-G-ONNA	AH_B N_I AX_E
-GA/BAG-	G_B AE_E #1
-GAVEN/GIVEN-	G_B EY_I V_I AX_I N_E
-GEING/GOING-	G_B IY_I IH_I NG_E
-GISLAND/ISLAND-	JH_B IH_I L_I AX_I N_I D_E
-GREST/GREATEST-	G_B R_I EH_I S_I T_E
-GRIEDOUS/GRIEVOUS-	G_B R_I IY_I D_I AX_I S_E
-GRUG/DRUG-	G_B R_I AH_I G_E
-GRULF/GULF-	G_B R_I AH_I L_I F_E
-GUST/JUST-	G_B AH_I S_I T_E
-H-AS	AE_B Z_E #1
-H-E	IY_S #3
-H-ELLO	AX_B L_I OW_E #1
-H-EY	EY_S #1
-HA-S	Z_S #4
-HA-VE	V_S #1
-HA/FAMILY-	HH_B AE_E #1
-HANK-ING-/HIKING-	HH_B AE_I NG_I K_E #1
-HANTERS/HAND-	HH_B AE_I N_I T_I ER_I Z_E
-HAR-BITS-/HABITS-	HH_B AA_I R_E #1
-HARDY/HARDER-	HH_B AA_I R_I D_I IY_E #1
-HAY/HORSE-	HH_B EY_E #1
-HE-LLO	L_B OW_E #1
-HELL-O	OW_S #2
-HEM/HORMONES-	HH_B EH_I M_E #1
-HEXPIRED/EXPIRED-	HH_B EH_I K_I S_I P_I AY_I R_I D_E
-HI-SCI/HI-FI-	HH_B AY_I S_I AY_E
-HIMSNELF/HIMSELF-	HH_B IH_I M_I S_I N_I EH_I L_I F_E
-HIPPOCRATIC/HIPPOCRATES-	HH_B IH_I P_I AA_I K_I R_I AX_I T_I IY_I K_E
-HITCHCLOCK/HITCHCOCK-	HH_B IH_I CH_I K_I L_I AA_I K_E
-HOWSNER/HOWSER-	HH_B AW_I S_I N_I ER_E
-HUNNIEST/FUNNIEST-	HH_B AH_I N_I IY_I IH_I S_I T_E
-HUR/HOSE-	HH_B ER_E #1
-I-F	F_S #1
-I-MAGINE	M_B AE_I JH_I IH_I N_E
-I-S	Z_S #5
-I-T	T_S #2
-I-T'S	T_B S_E #1
-IM-PORTANT	P_B OW_I R_I T_I IH_I N_I T_E
-IM-POSED	P_B OW_I Z_I D_E #1
-IMPEME/IMPLEMENTED-	IH_B M_I P_I IY_I M_I EH_E
-IN'T/ISN'T-	IH_B N_I T_E #1
-IN-CON-VENIENCE-	K_B AX_I N_E #1
-IN-CREDIBLE	K_B R_I EH_I D_I IH_I B_I AX_I L_E #1
-IN-DUCTED	D_B AH_I K_I T_I IH_I D_E
-IN-SANE	S_B EY_I N_E #1
-IN-SU-RANCE-	SH_B UH_E #1
-IN-VESTMENT	V_B EH_I S_I T_I M_I IH_I N_I T_E
-INAEROBIC/ANAEROBIC-	IH_B N_I AX_I R_I OW_I B_I IH_I K_E
-INCENTITIVE/INCENTIVE-	IH_B N_I S_I EH_I N_I T_I IH_I T_I IH_I V_E
-INDIVIGAL/INDIVIDUAL-	IH_B N_I D_I IH_I V_I IH_I G_I AX_I L_E
-INEDEAS/IDEAS-	AY_B N_I AX_I D_I IY_I AX_I Z_E
-INS/WINDS-	IH_B N_I S_E #1
-INTENDO/NINTENDO-	IH_B N_I T_I EH_I N_I D_I OW_E
-ISRAELS/ISRAELIS-	IH_B Z_I R_I EY_I AX_I L_I Z_E #1
-IT'-S	S_S #1
-IT'N/ISN'T-	IH_B T_I EN_E
-IT-'S	S_S #2
-J-ERRY	EH_B R_I IY_E
-J-UST	AH_B S_I T_E
-JERE'S/THERE'S-	JH_B EY_I R_I Z_E
-JOG/JOB-	JH_B AA_I G_E #1
-JU-ST	S_B T_E #1
-JUDI-CIARY	SH_B AX_I R_I IY_E
-JUDO-CHRISTIAN/JUDEO-CHRISTIAN-	JH_B UW_I D_I OW_I K_I R_I IH_I S_I CH_I IH_I N_E
-JYPE/TYPE-	JH_B AY_I P_E
-KEECH/KEEP-	K_B IY_I CH_E
-KEY/HE-	K_B IY_E #1
-KIDZEES/KIDS-	K_B IH_I D_I Z_I IY_I Z_E
-KLEEPING/KEEPING-	K_B L_I IY_I P_I IH_I NG_E
-KN-OW	OW_S #3
-KONESTAN/KAZHAKSTAN-	K_B OW_I N_I EY_I S_I T_I AE_I N_E
-KYPE/TYPE-	K_B AY_I P_E
-L-EARNED	ER_B N_I D_E #1
-L-IKE	AY_B K_E
-LAN/LAMBS-	L_B AE_I N_E #1
-LANIERS/LANIER-	L_B EY_I N_I IY_I ER_I Z_E
-LARD/YARD-	L_B AA_I R_I D_E #1
-LAUGHTER-13TH-	TH_B ER_I T_I IY_I N_I TH_E #1
-LAUGHTER-A'S-	EY_B Z_E #1
-LAUGHTER-A-	AX_S #1
-LAUGHTER-A-ND--	AE_S #1
-LAUGHTER-A-NYTIME--	EH_S #1
-LAUGHTER-ABILITIES-	AX_B B_I IH_I L_I IH_I T_I IY_I Z_E #1
-LAUGHTER-ABLE-	EY_B B_I AX_I L_E #1
-LAUGHTER-ABOUT-	AX_B B_I AW_I T_E #1
-LAUGHTER-ABRASIVE-	AX_B B_I R_I EY_I S_I IH_I V_E #1
-LAUGHTER-ABSOLUTELY-	AE_B B_I S_I AX_I L_I UW_I T_I L_I IY_E #1
-LAUGHTER-ACCIDENT-	AE_B K_I S_I IH_I D_I EH_I N_I T_E #1
-LAUGHTER-ACCLIMATED-	AE_B K_I L_I IH_I M_I EY_I T_I IH_I D_E #1
-LAUGHTER-ACROSS-	AX_B K_I R_I AO_I S_E #1
-LAUGHTER-ACT-	AE_B K_I T_E #1
-LAUGHTER-ACTING-	AE_B K_I T_I IH_I NG_E #1
-LAUGHTER-ACTIVITIES-	AE_B K_I T_I IH_I V_I IH_I T_I IY_I Z_E #1
-LAUGHTER-ACTIVITY-	AE_B K_I T_I IH_I V_I IH_I T_I IY_E #1
-LAUGHTER-ACTUALLY-	AE_B K_I CH_I UW_I AX_I L_I IY_E #1
-LAUGHTER-ADDED-	AE_B D_I IH_I D_E #1
-LAUGHTER-ADDRESS-	AE_B D_I R_I EH_I S_E #1
-LAUGHTER-ADORED-	AX_B D_I OW_I R_I D_E #1
-LAUGHTER-ADULTS-	AE_B D_I AX_I L_I T_I S_E #1
-LAUGHTER-ADVENTURES-	AE_B D_I V_I EH_I N_I CH_I ER_I Z_E #1
-LAUGHTER-AFFORD-	AX_B F_I OW_I R_I D_E #1
-LAUGHTER-AFGHAN-	AE_B F_I G_I AE_I N_E #1
-LAUGHTER-AFRAID-	AX_B F_I R_I EY_I D_E #1
-LAUGHTER-AFTER-	AE_B F_I T_I ER_E #1
-LAUGHTER-AGAIN-	AX_B G_I EH_I N_E #1
-LAUGHTER-AGE-	EY_B JH_E #1
-LAUGHTER-AGENCIES-	EY_B JH_I IH_I N_I S_I IY_I Z_E #1
-LAUGHTER-AGES-	EY_B JH_I IH_I Z_E #1
-LAUGHTER-AGGRAVATING-	AE_B G_I R_I AX_I V_I EY_I T_I IH_I NG_E #1
-LAUGHTER-AGO-	AX_B G_I OW_E #1
-LAUGHTER-AGREE-	AX_B G_I R_I IY_E #1
-LAUGHTER-AHEAD-	AX_B HH_I EH_I D_E #1
-LAUGHTER-AIN'T-	EY_B N_I T_E #1
-LAUGHTER-AIR-	EY_B R_E #1
-LAUGHTER-AIRSPACE-	EY_B R_I S_I P_I EY_I S_E #1
-LAUGHTER-ALABAMA-	AE_B L_I AX_I B_I AE_I M_I AX_E #1
-LAUGHTER-ALL-	AO_B L_E #1
-LAUGHTER-ALLOWED-	AX_B L_I AW_I D_E #1
-LAUGHTER-ALMIGHTY-	AO_B L_I M_I AY_I T_I IY_E #1
-LAUGHTER-ALMOST-	AO_B L_I M_I OW_I S_I T_E #1
-LAUGHTER-ALONE-	AX_B L_I OW_I N_E #1
-LAUGHTER-ALONG-	AX_B L_I AO_I NG_E #2
-LAUGHTER-ALREADY-	AO_B L_I R_I EH_I D_I IY_E #1
-LAUGHTER-ALSO-	AO_B L_I S_I OW_E #1
-LAUGHTER-ALWAYS-	AO_B L_I W_I EY_I Z_E #1
-LAUGHTER-AM-	AE_B M_E #1
-LAUGHTER-AMAZING-	AX_B M_I EY_I Z_I IH_I NG_E #1
-LAUGHTER-AMERICA-	AX_B M_I EH_I R_I IH_I K_I AX_E #1
-LAUGHTER-AMERICAN-	AX_B M_I EH_I R_I IH_I K_I AX_I N_E #1
-LAUGHTER-AMOUNT-	AX_B M_I AW_I N_I T_E #1
-LAUGHTER-AMUSING-	AX_B M_I Y_I UW_I Z_I IH_I NG_E #1
-LAUGHTER-AN-	AE_B N_E #2
-LAUGHTER-AND-	AE_B N_I D_E #1
-LAUGHTER-ANGELES-	AE_B N_I JH_I AX_I L_I AX_I S_E #1
-LAUGHTER-ANN-	AE_B N_E #3
-LAUGHTER-ANOTHER-	AX_B N_I AH_I DH_I ER_E #1
-LAUGHTER-ANSWER-	AE_B N_I S_I ER_E #1
-LAUGHTER-ANTIBEACH-	AE_B N_I T_I AY_I B_I IY_I CH_E #1
-LAUGHTER-ANTIQUE-	AE_B N_I T_I IY_I K_E #1
-LAUGHTER-ANY-	EH_B N_I IY_E #1
-LAUGHTER-ANYBODY-	EH_B N_I IY_I B_I AH_I D_I IY_E #1
-LAUGHTER-ANYHOW-	EH_B N_I IY_I HH_I AW_E #1
-LAUGHTER-ANYMORE-	EH_B N_I IY_I M_I OW_I R_E #1
-LAUGHTER-ANYTHING-	EH_B N_I IY_I TH_I IH_I NG_E #1
-LAUGHTER-ANYTIME-	EH_B N_I IY_I T_I AY_I M_E #1
-LAUGHTER-ANYWAY-	EH_B N_I IY_I W_I EY_E #1
-LAUGHTER-ANYWHERE-	EH_B N_I IY_I W_I EY_I R_E #1
-LAUGHTER-APART-	AX_B P_I AA_I R_I T_E #1
-LAUGHTER-APARTMENT-	AX_B P_I AA_I R_I T_I M_I IH_I N_I T_E #1
-LAUGHTER-APIECE-	AX_B P_I IY_I S_E #1
-LAUGHTER-APPETITE-	AE_B P_I IH_I T_I AY_I T_E #1
-LAUGHTER-APPLIED-	AX_B P_I L_I AY_I D_E #1
-LAUGHTER-APPRECIATE-	AX_B P_I R_I IY_I SH_I IY_I EY_I T_E #1
-LAUGHTER-ARE-	AA_B R_E #2
-LAUGHTER-AREA-	EY_B R_I IY_I AX_E #1
-LAUGHTER-AREAS-	EY_B R_I IY_I AX_I Z_E #1
-LAUGHTER-AREN'T-	AA_B R_I N_I T_E #1
-LAUGHTER-ARGU-MENT--	AA_B R_I G_I Y_I AX_E
-LAUGHTER-ARIES-	EY_B R_I IY_I Z_E #1
-LAUGHTER-ARLINGTON-	AA_B R_I L_I IH_I NG_I T_I AX_I N_E #1
-LAUGHTER-AROUND-	AX_B R_I AW_I N_I D_E #1
-LAUGHTER-ART-	AA_B R_I T_E #1
-LAUGHTER-ARTICHOKE-	AA_B R_I T_I IH_I CH_I OW_I K_E #1
-LAUGHTER-AS-	AE_B Z_E #2
-LAUGHTER-ASK-	AE_B S_I K_E #1
-LAUGHTER-ASKED-	AE_B S_I K_I T_E #1
-LAUGHTER-ASLEEP-	AX_B S_I L_I IY_I P_E #1
-LAUGHTER-ASPECT-	AE_B S_I P_I EH_I K_I T_E #1
-LAUGHTER-AT-	AE_B T_E #1
-LAUGHTER-ATTACHED-	AX_B T_I AE_I CH_I T_E #1
-LAUGHTER-AUDIENCE-	AO_B D_I IY_I IH_I N_I S_E #1
-LAUGHTER-AUDIT-	AO_B D_I IH_I T_E #1
-LAUGHTER-AUGUSTINE-	AO_B G_I AH_I S_I T_I IH_I N_E #1
-LAUGHTER-AUTOMATICALLY-	AO_B T_I AX_I M_I AE_I T_I IH_I K_I L_I IY_E #1
-LAUGHTER-AVENUE-	AE_B V_I AX_I N_I UW_E #1
-LAUGHTER-AVON-	AE_B V_I AA_I N_E #1
-LAUGHTER-AWARE-	AX_B W_I EY_I R_E #2
-LAUGHTER-AWAY-	AX_B W_I EY_E #1
-LAUGHTER-AWFUL-	AO_B F_I AX_I L_E #1
-LAUGHTER-AWFULLY-	AO_B F_I AX_I L_I IY_E #1
-LAUGHTER-B-	B_B IY_E #1
-LAUGHTER-B-UREAUCRACY--	B_S #2
-LAUGHTER-BA-CK--	B_B AE_E #1
-LAUGHTER-BACK-	B_B AE_I K_E #1
-LAUGHTER-BACKFIRES-	B_B AE_I K_I F_I AY_I R_I Z_E #1
-LAUGHTER-BACKGROUND-	B_B AE_I K_I G_I R_I AW_I N_I D_E #1
-LAUGHTER-BACKGROUNDS-	B_B AE_I K_I G_I R_I AW_I N_I D_I Z_E #1
-LAUGHTER-BACKLASH-	B_B AE_I K_I L_I AE_I SH_E #1
-LAUGHTER-BACKSEATS-	B_B AE_I K_I S_I IY_I T_I S_E #1
-LAUGHTER-BACKYARD-	B_B AE_I K_I Y_I AA_I R_I D_E #1
-LAUGHTER-BAD-	B_B AE_I D_E #1
-LAUGHTER-BADMINTON-	B_B AE_I D_I M_I IH_I N_I T_I AX_I N_E #1
-LAUGHTER-BAG-	B_B AE_I G_E #1
-LAUGHTER-BAGS-	B_B AE_I G_I Z_E #1
-LAUGHTER-BAIT-	B_B EY_I T_E #1
-LAUGHTER-BALANCE-	B_B AE_I L_I AX_I N_I S_E #1
-LAUGHTER-BALCONY-	B_B AE_I L_I K_I AX_I N_I IY_E #1
-LAUGHTER-BAN-	B_B AE_I N_E #1
-LAUGHTER-BANK-	B_B AE_I NG_I K_E #1
-LAUGHTER-BAP-	B_B AE_I P_E #1
-LAUGHTER-BAR-	B_B AA_I R_E #1
-LAUGHTER-BARBECUE-	B_B AA_I R_I B_I AX_I K_I Y_I UW_E #1
-LAUGHTER-BARBER-	B_B AA_I R_I B_I ER_E #1
-LAUGHTER-BARREL-	B_B AE_I R_I AX_I L_E #1
-LAUGHTER-BARS-	B_B AA_I R_I Z_E #1
-LAUGHTER-BASEBALL-	B_B EY_I S_I B_I AO_I L_E #1
-LAUGHTER-BASICALLY-	B_B EY_I S_I IH_I K_I L_I IY_E #1
-LAUGHTER-BASIS-	B_B EY_I S_I IH_I S_E #1
-LAUGHTER-BASKET-	B_B AE_I S_I K_I IH_I T_E #1
-LAUGHTER-BASKETBALL-	B_B AE_I S_I K_I IH_I T_I B_I AO_I L_E #1
-LAUGHTER-BATHROOM-	B_B AE_I TH_I R_I UW_I M_E #1
-LAUGHTER-BATHROOMS-	B_B AE_I TH_I R_I UW_I M_I Z_E #1
-LAUGHTER-BATTERY-	B_B AE_I T_I AX_I R_I IY_E #1
-LAUGHTER-BE-	B_B IY_E #2
-LAUGHTER-BEACH-	B_B IY_I CH_E #1
-LAUGHTER-BECAUSE-	B_B AX_I K_I AH_I Z_E #1
-LAUGHTER-BECAUSE-	K_B AH_I Z_E #1
-LAUGHTER-BED-	B_B EH_I D_E #1
-LAUGHTER-BEDS-	B_B EH_I D_I Z_E #1
-LAUGHTER-BEEN-	B_B IH_I N_E #1
-LAUGHTER-BEFORE-	B_B AX_I F_I OW_I R_E #1
-LAUGHTER-BEGIN-	B_B AX_I G_I IH_I N_E #1
-LAUGHTER-BEHAVED-	B_B AX_I HH_I EY_I V_I D_E #1
-LAUGHTER-BEHIND-	B_B AX_I HH_I AY_I N_I D_E #1
-LAUGHTER-BEING-	B_B IY_I IH_I NG_E #1
-LAUGHTER-BELIEVE-	B_B IH_I L_I IY_I V_E #1
-LAUGHTER-BELL-	B_B EH_I L_E #1
-LAUGHTER-BELOW-	B_B AX_I L_I OW_E #1
-LAUGHTER-BENEFICIAL-	B_B EH_I N_I AX_I F_I IH_I SH_I AX_I L_E #1
-LAUGHTER-BENEFIT-	B_B EH_I N_I IH_I F_I IH_I T_E #1
-LAUGHTER-BENEFITS-	B_B EH_I N_I IH_I F_I IH_I T_I S_E #1
-LAUGHTER-BERNARDINO-	B_B ER_I N_I AA_I R_I D_I IY_I N_I UW_E #1
-LAUGHTER-BEST-	B_B EH_I S_I T_E #1
-LAUGHTER-BET-	B_B EH_I T_E #1
-LAUGHTER-BETTER-	B_B EH_I T_I ER_E #1
